종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"050120","ES큐브","KOSDAQ","벤처기업부","3005","30","1.01","2970","3005","2945","27251","81150065","40760078430","13564086"
"383220","F&F","KOSPI",,"87700","2900","3.42","84800","88300","84400","204798","17797428100","3359530477500","38307075"
"007700","F&F홀딩스","KOSPI",,"15380","10","0.07","15370","15470","15280","11434","175623090","601578964460","39114367"
"214270","FSN","KOSDAQ","중견기업부","2545","10","0.39","2515","2920","2500","8670301","23783673275","84622428335","33250463"
"130500","GH신소재","KOSDAQ","중견기업부","3075","-60","-1.91","3130","3150","3050","39127","120337870","44726034900","14545052"
"114090","GKL","KOSPI",,"13540","-50","-0.37","13590","13690","13520","116966","1589269910","837525771800","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","2465","5","0.20","2485","2490","2440","39883","97969220","166079375000","67375000"
"078930","GS","KOSPI",,"42350","-150","-0.35","42550","42800","42150","210785","8941380400","3934966258300","92915378"
"083450","GST","KOSDAQ","우량기업부","24400","-200","-0.81","24650","25050","24050","54330","1334898900","227352978000","9317745"
"006360","GS건설","KOSPI",,"15740","100","0.64","15700","16040","15690","456496","7217009650","1347052652600","85581490"
"001250","GS글로벌","KOSPI",,"2500","20","0.81","2485","2530","2485","281395","706110690","206334410000","82533764"
"007070","GS리테일","KOSPI",,"23850","450","1.92","23500","23850","23450","158168","3763636700","2497522439700","104717922"
"078935","GS우","KOSPI",,"36100","50","0.14","36100","36150","35800","8581","308794250","64432218600","1784826"
"297890","HB솔루션","KOSDAQ","우량기업부","4620","115","2.55","4545","4770","4530","1805865","8394864310","319716182940","69202637"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2350","55","2.40","2315","2400","2305","1409957","3329464400","217882402600","92715916"
"012630","HDC","KOSPI",,"7030","140","2.03","6970","7030","6890","52097","362995160","419984298630","59741721"
"039570","HDC랩스","KOSPI",,"7640","40","0.53","7700","7720","7590","9886","75661010","198316071640","25957601"
"089470","HDC현대EP","KOSPI",,"4715","15","0.32","4665","4770","4665","40152","190254050","150408500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"14620","140","0.97","14580","14820","14420","496969","7278026560","963565164600","65907330"
"009540","HD한국조선해양","KOSPI",,"113600","-300","-0.26","114000","114800","113000","168680","19210300500","8039825977600","70773116"
"267250","HD현대","KOSPI",,"61100","-200","-0.33","61400","61900","61100","264937","16261070100","4826477493500","78993085"
"267270","HD현대건설기계","KOSPI",,"49900","2400","5.05","48400","50300","48350","466322","23113085700","983069570700","19700793"
"322000","HD현대에너지솔루션","KOSPI",,"27100","-150","-0.55","28350","30350","26850","1421640","40645315150","303520000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"7880","440","5.91","7510","7970","7510","3628452","28336922120","1572875209640","199603453"
"267260","HD현대일렉트릭","KOSPI",,"82000","-200","-0.24","82100","85300","81600","261559","21814249800","2955865070000","36047135"
"329180","HD현대중공업","KOSPI",,"124300","0","0.00","124300","124700","123000","78446","9719729800","11034498318800","88773116"
"097230","HJ중공업","KOSPI",,"3955","170","4.49","3810","4000","3785","104074","405442755","329349781355","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","중견기업부","40100","-1150","-2.79","41450","41450","40050","155718","6300831450","1136028629100","28329891"
"014790","HL D&I","KOSPI",,"2070","10","0.49","2060","2160","2050","25322","52916610","78367304070","37858601"
"028300","HLB","KOSDAQ","중견기업부","43550","3100","7.66","40400","43650","40050","6501347","276183505650","5630740112400","129293688"
"003580","HLB글로벌","KOSPI",,"4570","370","8.81","4400","4765","4275","1554110","7077038945","193677847610","42380273"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","2825","20","0.71","2840","2930","2815","1491482","4282065580","222045960500","78600340"
"343090","HLB사이언스","KONEX","일반기업부","1789","175","10.84","1668","1789","1615","25008","41876182","29198921985","16321365"
"067630","HLB생명과학","KOSDAQ","중견기업부","11090","260","2.40","10830","11350","10680","1303328","14374767780","1129283188580","101828962"
"024850","HLB이노베이션","KOSDAQ","중견기업부","2630","60","2.33","2605","2665","2570","434324","1135612560","174914017530","66507231"
"047920","HLB제약","KOSDAQ","기술성장기업부","13760","130","0.95","13610","14060","13490","702183","9688352360","414880732160","30151216"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","3985","100","2.57","3905","4020","3885","420123","1666086340","292239285595","73334827"
"046210","HLB파나진","KOSDAQ","벤처기업부","3885","65","1.70","3905","4040","3850","1161579","4584385945","159302587395","41004527"
"204320","HL만도","KOSPI",,"36400","700","1.96","35800","36750","35600","403944","14684326500","1709239168000","46957120"
"060980","HL홀딩스","KOSPI",,"33000","-450","-1.35","33550","33600","33000","39806","1321777350","335590530000","10169410"
"011200","HMM","KOSPI",,"15370","-960","-5.88","16330","16380","15340","2894674","45735787490","10590537053520","689039496"
"403870","HPSP","KOSDAQ","벤처기업부","46050","-2600","-5.34","51100","51400","45450","3608123","172749950650","3761748609600","81688352"
"036640","HRS","KOSDAQ","우량기업부","5420","100","1.88","5320","5430","5290","67488","362321630","88643016000","16354800"
"082740","HSD엔진","KOSPI",,"10030","-20","-0.20","10100","10220","9960","477966","4824230700","717586259820","71543994"
"035000","HS애드","KOSPI",,"6380","-40","-0.62","6410","6420","6380","9122","58292270","105700069420","16567409"
"426550","IBKS제19호스팩","KOSDAQ","SPAC(소속부없음)","2935","90","3.16","2795","2945","2755","379122","1089455825","14909800000","5080000"
"439730","IBKS제20호스팩","KOSDAQ","SPAC(소속부없음)","2375","30","1.28","2360","2400","2340","21373","50935820","10236250000","4310000"
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)","2210","0","0.00","2240","2240","2190","5757","12622880","9304100000","4210000"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","2200","-5","-0.23","2195","2205","2180","14032","30605925","9746000000","4430000"
"003560","IHQ","KOSPI",,"3585","0","0.00","0","0","0","0","0","58878996765","16423709"
"095340","ISC","KOSDAQ","우량기업부","86200","-1300","-1.49","87700","87700","84600","222657","19104958400","1827186399600","21197058"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"175330","JB금융지주","KOSPI",,"10610","30","0.28","10610","10800","10550","587899","6265951360","2089988505340","196982894"
"950170","JTC","KOSDAQ","관리종목(소속부없음)","3735","-15","-0.40","3750","3790","3720","13739","51313105","187828006905","50288623"
"234080","JW생명과학","KOSPI",,"13040","30","0.23","13050","13100","12950","18947","247038880","206482584160","15834554"
